
Available font styles

mm6         Malayalam Regular 6pt
mm6s        Malayalam Regular 6pt Subscript

mm8         Malayalam Regular 8pt
mm8s        Malayalam Regular 8pt Subscript

mm10        Malayalam Regular 10pt
mm10s       Malayalam Regular 10pt Subscript
mmb10       Malayalam Bold 10pt
mmb10s      Malayalam Bold 10pt Subscript
mmsl10      Malayalam Slanted 10pt
mmsl10s     Malayalam Slanted 10pt Subscript
mmc10       Malayalam Calligraphic Regular 10pt
mmc10s      Malayalam Calligraphic Regular 10pt Subscript
mmcb10      Malayalam Calligraphic Bold 10pt
mmcb10s     Malayalam Calligraphic Bold 10pt Subscript
mmcsl10     Malayalam Calligraphic Slanted 10pt
mmcsl10s    Malayalam Calligraphic Slanted 10pt Subscript

mm12        Malayalam Regular 12pt
mm12s       Malayalam Regular 12pt Subscript
mmb12       Malayalam Bold 12pt
mmb12s      Malayalam Bold 12pt Subscript
mmsl12      Malayalam Slanted 12pt
mmsl12s     Malayalam Slanted 12pt Subscript
mmc12       Malayalam Calligraphic Regular 12pt
mmc12s      Malayalam Calligraphic Regular 12pt Subscript
mmcb12      Malayalam Calligraphic Bold 12pt
mmcb12s     Malayalam Calligraphic Bold 12pt Subscript
mmcsl12     Malayalam Calligraphic Slanted 12pt
mmcsl12s    Malayalam Calligraphic Slanted 12pt Subscript

mm17        Malayalam Regular 17pt
mm17s       Malayalam Regular 17pt Subscript
mmc17       Malayalam Calligraphic Regular 17pt
mmc17s      Malayalam Calligraphic Regular 17pt Subscript
mmb17       Malayalam Bold 17pt
mmb17s      Malayalam Bold 17pt Subscript
mmcb17      Malayalam Calligraphic Bold 17pt
mmcb17s     Malayalam Calligraphic Bold 17pt Subscript


<eof>

