# TeXdoc database file
# some documentation is included in .sty files only; texdoctk needs keys for
# extracting it at the beginning of the 4th field:
# -0-: no specific place; -1-: at end, behind \endinput; -2-: at beginning,
# terminated by %%%%%%; -3-: at beginning, terminated with blank line
@Guides and tutorials
latex;LaTeX2e: The macro package for TeX;latex/base/latex2e.pdf;
latex-html;Hypertext Help with LaTeX commands;english/latex2e-html/index.html;basics
symbols;Comprehensive LaTeX Symbol List (a4);english/comprehensive/symbols-a4.pdf;tutorial, introduction, basics, fonts
texguide;User's guide (LaTeX2e for authors);latex/base/usrguide.pdf;tutorial, introduction, basics
lehman;The Font Installation Guide;english/Type1fonts/fontinstallationguide.pdf;
dtxtut;How to Package Your LaTeX Package;english/dtxtut/dtxtut.pdf;
gentle;A Gentle Introduction to TeX;english/gentle/gentle.dvi;tutorial, introduction, basics
lshort;Not So Short Introduction to LaTeX;english/lshort-english/lshort.pdf;tutorial, introduction, basics, mathematics, graphics, layout, symbols, configuration
uktugfaq;English FAQ from UK TUG;english/FAQ-en/newfaq.pdf;tutorial, introduction, basics
pdftex;pdfTeX User Manual;pdftex/manual/pdftex-a.pdf;tutorial
pdftexfaq;pdfTeX FAQ;pdftex/misc/pdfTeX-FAQ.pdf;f
metafp;Experiences with Running Metafont and MetaPost;english/metafp/metafp.pdf;tutorial
ttf;Using TrueType fonts with TeX and dvips;english/truetype/ttf-tetex.pdf;
context1;Introduction to ConTeXt;context/base/mreadme.pdf; introduction, basics
# context2;ConTeXt Commands;context/base/manuals/setup-en.pdf;tutorial, introduction, basics
KOMAg;KOMA-Script User's Guide (german);latex/koma-script/scrguide.pdf;tutorial, introduction
eplain;Expanded Plain TeX;eplain/base/eplain.pdf;tutorial, introduction, basics, reference, arrows, index, lists, layout, bibliography
etex;e-TeX Manual;etex/base/etex_man.pdf;tutorial, introduction, basics
AMSguide;User's Guide to AMS-TeX;amstex/base/amsguide.pdf;mathematics, math fonts, symbols
AMSinstr;AMS book/paper typesetting intructions;latex/amslatex/instr-l.pdf;submissions
catalogue;The TeX Catalogue Online;english/catalogue/index.html;
ctan;CTAN sites;english/help/CTAN.sites;
@Fundamentals
TDS;TeX Directory Structure;english/tds/tds.pdf;administration
kpathsea;kpathsea library manual;kpathsea/kpathsea.pdf;administration, configuration, fonts
cfgguide;LaTeX2e configuration guide;latex/base/cfgguide.pdf;tutorial, administration, format, hyphenation, fonts, graphics
fontinst;Font installation in TeX (fontinst);fontinst/base/manual/fontinst.pdf;encoding, metrics
tetex;teTeX manual;tetex/TETEXDOC.pdf;tutorial, administration, configuration, installation, package
web2c;Introduction to web2c;web2c/web2c.pdf;administration, programs
@Macro programming
clsguide;Class/package writing fundamentals;latex/base/clsguide.pdf;programming
ifthen;Conditional structures in LaTeX (ifthen);latex/base/ifthen.dvi;programming
at;New commands with the @ symbol (at);latex/mdwtools/at.dvi;programming
twoopt;Define commands with 2 optional arguments (twoopt);latex/oberdiek/twoopt.pdf;newcommand, macro, programming
doafter;TeX group handling (doafter);latex/mdwtools/doafter.dvi;programming
datenumber;Convert a date into a number (datenumber);latex/datenumber/doc.dvi;programming
grnumalt;Convert Arabaic numeral to Athenian (grnumalt);latex/grnumalt/grnumalt.dvi;
binhex;Convert numbers into bin, oct and hex notation;generic/kastrup/binhex.dvi;
isodate;Switch between different date formats (isodate);latex/isodate/isodate.pdf;
localloc;Enhanced register allocation macros (localloc);latex/localloc/localloc.dvi;memory
everysel;Execute something after every new font loading (everysel);latex/everysel/everysel.dvi;programming
everyshi;Execute something before page shipout (everyshi);latex/everyshi/everyshi.dvi;programming
stdclsdv;Get sectional divisioning of classes (stdclsdv);latex/stdclsdv/stdclsdv.dvi;programming
docstrip;Package documentation writing/formatting (docstrip);latex/base/docstrip.dvi;programming
xspace;Space control after macros (xspace);latex/tools/xspace.pdf;programming
sublabel;Subnumber LaTeX counters (sublabel);latex/preprint/sublabel.pdf;
trace;Tracing Macros (trace);latex/tools/trace.pdf;
somedefs;Use selected definitions of package (somedefs);latex/tools/somedefs.pdf;programming
bibtexhak;BIBTeX Hacker's Guide (bibtex);bibtex/base/btxhak.pdf;references, citations
modguide;Modifying LaTeX;latex/base/modguide.pdf;programming
@Accessory programs
